prefecture_id,region_id,prefecture_name,primary_launch_city,suggested_phase
hokkaido,hokkaido,Hokkaido,Hokkaido City,1
aomori,tohoku,Aomori,Aomori City,1
iwate,tohoku,Iwate,Iwate City,1
miyagi,tohoku,Miyagi,Miyagi City,1
akita,tohoku,Akita,Akita City,1
yamagata,tohoku,Yamagata,Yamagata City,1
fukushima,tohoku,Fukushima,Fukushima City,1
ibaraki,kanto,Ibaraki,Ibaraki City,1
tochigi,kanto,Tochigi,Tochigi City,1
gunma,kanto,Gunma,Gunma City,1
saitama,kanto,Saitama,Saitama City,1
chiba,kanto,Chiba,Chiba City,1
tokyo,kanto,Tokyo,Tokyo City,1
kanagawa,kanto,Kanagawa,Kanagawa City,1
niigata,chubu,Niigata,Niigata City,1
toyama,chubu,Toyama,Toyama City,1
ishikawa,chubu,Ishikawa,Ishikawa City,1
fukui,chubu,Fukui,Fukui City,1
yamanashi,chubu,Yamanashi,Yamanashi City,1
nagano,chubu,Nagano,Nagano City,1
gifu,chubu,Gifu,Gifu City,1
shizuoka,chubu,Shizuoka,Shizuoka City,1
aichi,chubu,Aichi,Aichi City,1
mie,kansai,Mie,Mie City,1
shiga,kansai,Shiga,Shiga City,1
kyoto,kansai,Kyoto,Kyoto City,1
osaka,kansai,Osaka,Osaka City,1
hyogo,kansai,Hyogo,Hyogo City,1
nara,kansai,Nara,Nara City,1
wakayama,kansai,Wakayama,Wakayama City,1
tottori,chugoku,Tottori,Tottori City,1
shimane,chugoku,Shimane,Shimane City,1
okayama,chugoku,Okayama,Okayama City,1
hiroshima,chugoku,Hiroshima,Hiroshima City,1
yamaguchi,chugoku,Yamaguchi,Yamaguchi City,1
tokushima,shikoku,Tokushima,Tokushima City,1
kagawa,shikoku,Kagawa,Kagawa City,1
ehime,shikoku,Ehime,Ehime City,1
kochi,shikoku,Kochi,Kochi City,1
fukuoka,kyuushuu,Fukuoka,Fukuoka City,1
saga,kyuushuu,Saga,Saga City,1
nagasaki,kyuushuu,Nagasaki,Nagasaki City,1
kumamoto,kyuushuu,Kumamoto,Kumamoto City,1
oita,kyuushuu,Oita,Oita City,1
miyazaki,kyuushuu,Miyazaki,Miyazaki City,1
kagoshima,kyuushuu,Kagoshima,Kagoshima City,1
okinawa,kyuushuu,Okinawa,Okinawa City,1
