Regions,Prefecture,Municipalities(Japanese),Municipalities(English),Dish_Name_JP,Dish_Name_EN,Dish_Subtitle,Pronunciation_Guide,Audio_File_URL,Is_Quick_Bite,Is_Vegeterian,Is_Dine_In,Is_Halal,Is_Seasonal_Peak,Season,Main_Description,Dietary_Info,Price_Min,Price_Max,Visual_Cues,History_Summary,Did_You_Know,Key_Ingredients,Cooking_Method,Toppings,Google_Maps_Query,Image 1,Image 2,Image 3
Hokkaido,Hokkaido,愛別町,Aibetsu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,赤井川村,Akaigawa Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,赤平市,Akabira City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,旭川市,Asahikawa City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,芦別市,Ashibetsu City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,足寄町,Ashoro Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,厚岸町,Akkeshi Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,厚沢部町,Assabu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,厚真町,Atsuma Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,網走市,Abashiri City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,安平町,Abira Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,池田町,Ikeda Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,石狩市,Ishikari City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,今金町,Imakane Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,岩内町,Iwanai Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,岩見沢市,Iwamizawa City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,歌志内市,Utashinai City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,浦臼町,Urausu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,浦河町,Urakawa Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,浦幌町,Urahoro Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,雨竜町,Uryu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,江差町,Esashi Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,枝幸町,Esashi Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,恵庭市,Eniwa City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,江別市,Ebetsu City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,えりも町,Erimo Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,遠軽町,Engaru Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,遠別町,Embetsu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,雄武町,Oumu Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,大空町,Ozora Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,奥尻町,Okushiri Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,置戸町,Oketo Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,興部町,Okoppe Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,長万部町,Oshamambe Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,小樽市,Otaru City,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,音威子府村,Otoineppu Village,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,音更町,Otofuke Town,,,,,,,,,,,,,,,,,,,,,,,,,
,Hokkaido,乙部町,Otobe Town,,,,,,,,,,,,,,,,,,,,,,,,,
