location_id,location_name,type,parent_location_id,city,prefecture_id,region_id,coverage_phase,food_focus,admin_note,content_status
aibetsu-town,Aibetsu Town,Town,,Aibetsu Town,hokkaido,hokkaido,1,,,Published
akaigawa-village,Akaigawa Village,City,,Akaigawa Village,hokkaido,hokkaido,1,,,Published
akabira-city,Akabira City,City,,Akabira City,hokkaido,hokkaido,1,,,Published
asahikawa-city,Asahikawa City,City,,Asahikawa City,hokkaido,hokkaido,1,,,Published
ashibetsu-city,Ashibetsu City,City,,Ashibetsu City,hokkaido,hokkaido,1,,,Published
ashoro-town,Ashoro Town,Town,,Ashoro Town,hokkaido,hokkaido,1,,,Published
akkeshi-town,Akkeshi Town,Town,,Akkeshi Town,hokkaido,hokkaido,1,,,Published
assabu-town,Assabu Town,Town,,Assabu Town,hokkaido,hokkaido,1,,,Published
atsuma-town,Atsuma Town,Town,,Atsuma Town,hokkaido,hokkaido,1,,,Published
abashiri-city,Abashiri City,City,,Abashiri City,hokkaido,hokkaido,1,,,Published
abira-town,Abira Town,Town,,Abira Town,hokkaido,hokkaido,1,,,Published
ikeda-town,Ikeda Town,Town,,Ikeda Town,hokkaido,hokkaido,1,,,Published
ishikari-city,Ishikari City,City,,Ishikari City,hokkaido,hokkaido,1,,,Published
imakane-town,Imakane Town,Town,,Imakane Town,hokkaido,hokkaido,1,,,Published
iwanai-town,Iwanai Town,Town,,Iwanai Town,hokkaido,hokkaido,1,,,Published
iwamizawa-city,Iwamizawa City,City,,Iwamizawa City,hokkaido,hokkaido,1,,,Published
utashinai-city,Utashinai City,City,,Utashinai City,hokkaido,hokkaido,1,,,Published
urausu-town,Urausu Town,Town,,Urausu Town,hokkaido,hokkaido,1,,,Published
urakawa-town,Urakawa Town,Town,,Urakawa Town,hokkaido,hokkaido,1,,,Published
urahoro-town,Urahoro Town,Town,,Urahoro Town,hokkaido,hokkaido,1,,,Published
uryu-town,Uryu Town,Town,,Uryu Town,hokkaido,hokkaido,1,,,Published
esashi-town,Esashi Town,Town,,Esashi Town,hokkaido,hokkaido,1,,,Published
eniwa-city,Eniwa City,City,,Eniwa City,hokkaido,hokkaido,1,,,Published
ebetsu-city,Ebetsu City,City,,Ebetsu City,hokkaido,hokkaido,1,,,Published
erimo-town,Erimo Town,Town,,Erimo Town,hokkaido,hokkaido,1,,,Published
engaru-town,Engaru Town,Town,,Engaru Town,hokkaido,hokkaido,1,,,Published
embetsu-town,Embetsu Town,Town,,Embetsu Town,hokkaido,hokkaido,1,,,Published
oumu-town,Oumu Town,Town,,Oumu Town,hokkaido,hokkaido,1,,,Published
ozora-town,Ozora Town,Town,,Ozora Town,hokkaido,hokkaido,1,,,Published
okushiri-town,Okushiri Town,Town,,Okushiri Town,hokkaido,hokkaido,1,,,Published
oketo-town,Oketo Town,Town,,Oketo Town,hokkaido,hokkaido,1,,,Published
okoppe-town,Okoppe Town,Town,,Okoppe Town,hokkaido,hokkaido,1,,,Published
oshamambe-town,Oshamambe Town,Town,,Oshamambe Town,hokkaido,hokkaido,1,,,Published
otaru-city,Otaru City,City,,Otaru City,hokkaido,hokkaido,1,,,Published
otoineppu-village,Otoineppu Village,City,,Otoineppu Village,hokkaido,hokkaido,1,,,Published
otofuke-town,Otofuke Town,Town,,Otofuke Town,hokkaido,hokkaido,1,,,Published
otobe-town,Otobe Town,Town,,Otobe Town,hokkaido,hokkaido,1,,,Published
obihiro-city,Obihiro City,City,,Obihiro City,hokkaido,hokkaido,1,,,Published
obira-town,Obira Town,Town,,Obira Town,hokkaido,hokkaido,1,,,Published
kamikawa-town,Kamikawa Town,Town,,Kamikawa Town,hokkaido,hokkaido,1,,,Published
kamishihoro-town,Kamishihoro Town,Town,,Kamishihoro Town,hokkaido,hokkaido,1,,,Published
kamisunagawa-town,Kamisunagawa Town,Town,,Kamisunagawa Town,hokkaido,hokkaido,1,,,Published
kaminokuni-town,Kaminokuni Town,Town,,Kaminokuni Town,hokkaido,hokkaido,1,,,Published
kamifurano-town,Kamifurano Town,Town,,Kamifurano Town,hokkaido,hokkaido,1,,,Published
kamoenai-village,Kamoenai Village,City,,Kamoenai Village,hokkaido,hokkaido,1,,,Published
kikonai-town,Kikonai Town,Town,,Kikonai Town,hokkaido,hokkaido,1,,,Published
kitahiroshima-city,Kitahiroshima City,City,,Kitahiroshima City,hokkaido,hokkaido,1,,,Published
kitami-city,Kitami City,City,,Kitami City,hokkaido,hokkaido,1,,,Published
kimobetsu-town,Kimobetsu Town,Town,,Kimobetsu Town,hokkaido,hokkaido,1,,,Published
kyogoku-town,Kyogoku Town,Town,,Kyogoku Town,hokkaido,hokkaido,1,,,Published
kyowa-town,Kyowa Town,Town,,Kyowa Town,hokkaido,hokkaido,1,,,Published
kiyosato-town,Kiyosato Town,Town,,Kiyosato Town,hokkaido,hokkaido,1,,,Published
kushiro-city,Kushiro City,City,,Kushiro City,hokkaido,hokkaido,1,,,Published
kushiro-town,Kushiro Town,Town,,Kushiro Town,hokkaido,hokkaido,1,,,Published
kutchan-town,Kutchan Town,Town,,Kutchan Town,hokkaido,hokkaido,1,,,Published
kuriyama-town,Kuriyama Town,Town,,Kuriyama Town,hokkaido,hokkaido,1,,,Published
kuromatsunai-town,Kuromatsunai Town,Town,,Kuromatsunai Town,hokkaido,hokkaido,1,,,Published
kunneppu-town,Kunneppu Town,Town,,Kunneppu Town,hokkaido,hokkaido,1,,,Published
kembuchi-town,Kembuchi Town,Town,,Kembuchi Town,hokkaido,hokkaido,1,,,Published
koshimizu-town,Koshimizu Town,Town,,Koshimizu Town,hokkaido,hokkaido,1,,,Published
sapporo-city,Sapporo City,City,,Sapporo City,hokkaido,hokkaido,1,,,Published
samani-town,Samani Town,Town,,Samani Town,hokkaido,hokkaido,1,,,Published
sarabetsu-village,Sarabetsu Village,City,,Sarabetsu Village,hokkaido,hokkaido,1,,,Published
sarufutsu-village,Sarufutsu Village,City,,Sarufutsu Village,hokkaido,hokkaido,1,,,Published
saroma-town,Saroma Town,Town,,Saroma Town,hokkaido,hokkaido,1,,,Published
shikaoi-town,Shikaoi Town,Town,,Shikaoi Town,hokkaido,hokkaido,1,,,Published
shikabe-town,Shikabe Town,Town,,Shikabe Town,hokkaido,hokkaido,1,,,Published
shikotan-village,Shikotan Village,City,,Shikotan Village,hokkaido,hokkaido,1,,,Published
shibecha-town,Shibecha Town,Town,,Shibecha Town,hokkaido,hokkaido,1,,,Published
shibetsu-city,Shibetsu City,City,,Shibetsu City,hokkaido,hokkaido,1,,,Published
shibetsu-town,Shibetsu Town,Town,,Shibetsu Town,hokkaido,hokkaido,1,,,Published
shibetoro-village,Shibetoro Village,City,,Shibetoro Village,hokkaido,hokkaido,1,,,Published
shihoro-town,Shihoro Town,Town,,Shihoro Town,hokkaido,hokkaido,1,,,Published
shimamaki-village,Shimamaki Village,City,,Shimamaki Village,hokkaido,hokkaido,1,,,Published
shimizu-town,Shimizu Town,Town,,Shimizu Town,hokkaido,hokkaido,1,,,Published
